KundeID,Kunde,Segment,PLZ,Ort,StammFilialeID
K0001,Jonas Becker,Privat,22765,Hamburg,F1
K0002,Olga Nowak,Privat,25421,Pinneberg,F1
K0003,Paul Schmitt,Privat,21073,Hamburg,F1
K0004,Noah Hartmann,Privat,20095,Hamburg,F1
K0005,Tara Braun,Privat,20095,Hamburg,F1
K0006,Elif Richter,Privat,25421,Pinneberg,F1
K0007,Blumen Blüte,Gewerbe,21073,Hamburg,F1
K0008,Tara Braun,Privat,21073,Hamburg,F1
K0009,Hausmeister Kraft,Gewerbe,22765,Hamburg,F1
K0010,Mia Wagner,Privat,25421,Pinneberg,F1
K0011,Ida Yilmaz,Privat,21073,Hamburg,F1
K0012,Kurierdienst Flink,Gewerbe,20095,Hamburg,F1
K0013,Finn Becker,Privat,22765,Hamburg,F1
K0014,Greta Krüger,Privat,22765,Hamburg,F1
K0015,David Zimmermann,Privat,22765,Hamburg,F1
K0016,Elif Becker,Privat,21073,Hamburg,F1
K0017,Elif Krüger,Privat,22765,Hamburg,F1
K0018,Greta Hoffmann,Privat,20095,Hamburg,F1
K0019,Kira Hoffmann,Privat,20095,Hamburg,F1
K0020,Kira Nowak,Privat,25421,Pinneberg,F1
K0021,Ida Becker,Privat,22765,Hamburg,F1
K0022,Bäckerei Korn,Gewerbe,25421,Pinneberg,F1
K0023,Sven Hoffmann,Privat,25421,Pinneberg,F1
K0024,Lukas Kaya,Privat,21073,Hamburg,F1
K0025,Umut Yilmaz,Privat,20095,Hamburg,F1
K0026,Pflegedienst Lotse,Gewerbe,22765,Hamburg,F1
K0027,Finn Hoffmann,Privat,25421,Pinneberg,F1
K0028,Hannes Hoffmann,Privat,22765,Hamburg,F1
K0029,Clara Schmitt,Privat,25421,Pinneberg,F1
K0030,Jonas Krüger,Privat,21073,Hamburg,F1
K0031,Finn Richter,Privat,21073,Hamburg,F1
K0032,Bäckerei Korn,Gewerbe,22765,Hamburg,F1
K0033,Ida Yilmaz,Privat,25421,Pinneberg,F1
K0034,Kurierdienst Flink,Gewerbe,20095,Hamburg,F1
K0035,Clara Krüger,Privat,22765,Hamburg,F1
K0036,Mia Becker,Privat,20095,Hamburg,F1
K0037,Kira Richter,Privat,25421,Pinneberg,F1
K0038,Finn Hartmann,Privat,21073,Hamburg,F1
K0039,Physio am Park,Gewerbe,25421,Pinneberg,F1
K0040,Pflegedienst Lotse,Gewerbe,25421,Pinneberg,F1
K0041,Elif Becker,Privat,25421,Pinneberg,F1
K0042,Hausmeister Kraft,Gewerbe,22765,Hamburg,F1
K0043,Noah Becker,Privat,20095,Hamburg,F1
K0044,Noah Kaya,Privat,22765,Hamburg,F1
K0045,Jonas Richter,Privat,21073,Hamburg,F1
K0046,Café Speiche,Gewerbe,50667,Köln,F2
K0047,Jonas Schmitt,Privat,50321,Brühl,F2
K0048,Ida Zimmermann,Privat,51373,Leverkusen,F2
K0049,Umut Nowak,Privat,50937,Köln,F2
K0050,Elif Hoffmann,Privat,50667,Köln,F2
K0051,Elif Krüger,Privat,51373,Leverkusen,F2
K0052,Lukas Kaya,Privat,51373,Leverkusen,F2
K0053,Clara Braun,Privat,50937,Köln,F2
K0054,Pflegedienst Lotse,Gewerbe,50667,Köln,F2
K0055,Olga Hartmann,Privat,50937,Köln,F2
K0056,Jonas Kaya,Privat,50321,Brühl,F2
K0057,Greta Krüger,Privat,50937,Köln,F2
K0058,Tara Krüger,Privat,50937,Köln,F2
K0059,Kira Yilmaz,Privat,50667,Köln,F2
K0060,Ben Yilmaz,Privat,50321,Brühl,F2
K0061,Elif Braun,Privat,50667,Köln,F2
K0062,Hannes Becker,Privat,51373,Leverkusen,F2
K0063,Finn Hoffmann,Privat,50667,Köln,F2
K0064,Anna Becker,Privat,50667,Köln,F2
K0065,Clara Lange,Privat,50667,Köln,F2
K0066,Hannes Schulz,Privat,51373,Leverkusen,F2
K0067,Jonas Zimmermann,Privat,50667,Köln,F2
K0068,Sven Nowak,Privat,50937,Köln,F2
K0069,Finn Kaya,Privat,50937,Köln,F2
K0070,Lieferheld Süd,Gewerbe,50937,Köln,F2
K0071,Bäckerei Korn,Gewerbe,50321,Brühl,F2
K0072,Tara Becker,Privat,50667,Köln,F2
K0073,Clara Richter,Privat,50321,Brühl,F2
K0074,Hannes Becker,Privat,50321,Brühl,F2
K0075,Hausmeister Kraft,Gewerbe,50321,Brühl,F2
K0076,Tara Nowak,Privat,51373,Leverkusen,F2
K0077,Ida Lange,Privat,50937,Köln,F2
K0078,Olga Yilmaz,Privat,51373,Leverkusen,F2
